packet size,time interval,dst port,label
56,0,7680,0
54,0.04802894592285156,61621,0
54,0.010686159133911133,61621,0
56,0.004453420639038086,7680,0
66,0.46130990982055664,8081,0
66,0.0019631385803222656,8081,0
66,0.001953601837158203,8081,0
66,0.0019135475158691406,8081,0
66,0.001018524169921875,8081,0
66,0.0029108524322509766,8081,0
66,0.08920812606811523,65475,0
54,0.0039026737213134766,8081,0
1184,0.0029191970825195312,8081,0
54,0.0029342174530029297,8081,0
66,0.0039033889770507812,65476,0
54,0.002935171127319336,8081,0
1168,0.003912687301635742,8081,0
54,0.0029158592224121094,8081,0
56,0.005886554718017578,65475,0
58,0.0029320716857910156,65474,0
58,0.0029735565185546875,65472,0
66,0.004882335662841797,65477,0
1168,0.005911827087402344,8081,0
1168,0.03609061241149902,8081,0
54,0.004884243011474609,8081,0
54,0.023447275161743164,8081,0
1168,0.0029191970825195312,8081,0
54,0.003945112228393555,8081,0
54,0.0038683414459228516,8081,0
56,0.004923343658447266,65476,0
66,0.005837440490722656,65473,0
56,0.003904104232788086,65474,0
56,0.015213727951049805,65472,0
56,0.0049173831939697266,65477,0
1168,0.004883527755737305,8081,0
54,0.003876209259033203,8081,0
56,0.004912614822387695,65473,0
58,0.08958029747009277,64933,0
58,0.0077898502349853516,59178,0
58,0.007828712463378906,7680,0
56,0.029327392578125,7680,0
56,0.008767366409301758,7680,0
56,0.10234713554382324,60865,0
66,0.8186628818511963,443,0
66,0.2243664264678955,65478,0
54,0.0078105926513671875,443,0
266,0.003905057907104492,443,0
1514,0.2491168975830078,65478,0
1514,0.0039031505584716797,65478,0
1369,0.004894256591796875,65478,0
54,0.004915475845336914,443,0
54,0.001982450485229492,443,0
54,0.0048274993896484375,443,0
54,0.002947092056274414,443,0
54,0.004457950592041016,443,0
212,0.0039098262786865234,443,0
56,0.017574310302734375,65442,0
56,0.002926349639892578,65442,0
54,0.003913402557373047,443,0
56,0.003902435302734375,49958,0
54,0.004883766174316406,443,0
56,0.013669729232788086,60544,0
56,0.004890918731689453,60544,0
54,0.0039000511169433594,443,0
66,0.12632417678833008,7680,0
66,0.008704662322998047,51029,0
56,0.00796651840209961,7680,0
129,0.009763002395629883,7680,0
129,0.007801532745361328,51029,0
197,0.005861043930053711,7680,0
197,0.00585174560546875,51029,0
56,0.0039060115814208984,60230,0
54,0.002928018569946289,443,0
105,0.0029358863830566406,65478,0
123,0.005849123001098633,65478,0
54,0.002931356430053711,443,0
141,0.0048863887786865234,443,0
948,0.003918170928955078,443,0
92,0.004876136779785156,443,0
1494,0.0029287338256835938,443,0
1494,0.004876136779785156,443,0
1494,0.0029315948486328125,443,0
